object_id,title,alt_text,featured,creator,description,source_url,period,year,medium_genre,subjects,source,credit,thumbnail,dimensions
haptic-khipu,Haptic khipu,Haptic khipu,,,,https://juancobo.com/138la/iiif/khipu/manifest.json,,,,,"Art, Design & Architecture Museum, UC Santa Barbara","Material/Image Research Lab, UC Santa Barbara","https://khipu.mirl.arthistory.ucsb.edu/iiif/objects/image3/full/96,64/0/default.jpg",
img5036,IMG_5036,IMG_5036,,,,,,,,,,,,
sa1840educacionen-english-first,"sa1840-educacion-en (English, first edition) — p. (1)","sa1840-educacion-en (English, first edition) — p. (1)",,,,https://juancobo.com/rodriguez/iiif/sa1840-educacion-en/manifest.json,,,,,,,"https://s3.us-west-001.backblazeb2.com/juancobo-rodriguez-iiif/sa1840-educacion-en/full/600,822/0/default.jpg",
screenshot20260911at80253pm,Screen Shot 2026-09-11 at 8.02.53 PM,Screen Shot 2026-09-11 at 8.02.53 PM,,,,,,,,,,,,
screenshot20260911at80549pm,Screen Shot 2026-09-11 at 8.05.49 PM,Screen Shot 2026-09-11 at 8.05.49 PM,,,,,,,,,,,,
screenshot20260911at80549pmsmall,Screen Shot 2026-09-11 at 8.05.49 PM Small,Screen Shot 2026-09-11 at 8.05.49 PM Small,,,,,,,,,,,,
screenshot20260911at80644pmsmall,Screen Shot 2026-09-11 at 8.06.44 PM Small,Screen Shot 2026-09-11 at 8.06.44 PM Small,,,,,,,,,,,,
simon-rodriguez-imprenta,"Simón Rodríguez — Imprenta 1840, p. 61 (English)","Simón Rodríguez — Imprenta 1840, p. 61 (English)",,,,https://juancobo.com/138la/iiif/rodriguez/p42/manifest.json,,,,,Facsimile of the first editions,INT 138LA,"https://s3.us-west-001.backblazeb2.com/juancobo-rodriguez-iiif/sa1840-imprenta-en-p2/full/241,330/0/default.jpg",
simon-rodriguez-prodromo,"Simón Rodríguez — Pródromo 1828, p. 1 (English)","Simón Rodríguez — Pródromo 1828, p. 1 (English)",,,,https://juancobo.com/138la/iiif/rodriguez/p2/manifest.json,,,,,Facsimile of the first editions,INT 138LA,"https://s3.us-west-001.backblazeb2.com/juancobo-rodriguez-iiif/sa1828-prodromo-en-p1/full/241,316/0/default.jpg",
telar-placeholder,Telar placeholder,Telar placeholder,,Adelaida Ávila,,,,2026,,,,,,
unnamed,Florentine Codex,unnamed,,,,,,,,,,,,
